ordo_id	ordo_name	omim_id	orphanet_link
597	Central core disease	117000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=597
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	609136	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163746
684	Paramyotonia congenita of Von Eulenburg	168300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=684
273	Steinert myotonic dystrophy	160900	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=273
163937	X-linked intellectual disability, Najm type	300749	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163937
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	300863	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163966
163976	X-linked intellectual disability, Van Esch type	301030	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163976
163979	X-linked intellectual disability-craniofacioskeletal syndrome	300712	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163979
163953	X-linked intellectual disability, Raymond type	300799	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163953
163956	X-linked intellectual disability, Nascimento type	300860	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163956
163961	X-linked cerebral-cerebellar-coloboma syndrome	300864	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163961
324	Fabry disease	301500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=324
163982	X-linked intellectual disability-spastic quadriparesis syndrome	309640	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163982
163985	Hyperekplexia-epilepsy syndrome	300607	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163985
778	Rett syndrome	312750	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=778
72	Angelman syndrome	105830	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=72
307	Juvenile myoclonic epilepsy	254770	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=307
1941	Juvenile absence epilepsy	607631	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=1941
892	Von Hippel-Lindau disease	193300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=892
164736	Familial advanced sleep-phase syndrome	604348	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=164736
138	CHARGE syndrome	214800	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=138
803	Amyotrophic lateral sclerosis	105400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=803
100	Ataxia-telangiectasia	208900	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=100
733	Familial adenomatous polyposis	175100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=733
399	Huntington disease	143100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=399
501	Lafora disease	254780	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=501
870	Down syndrome	190685	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=870
512	Metachromatic leukodystrophy	250100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=512
166011	Multiple epiphyseal dysplasia, Beighton type	132450	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166011
166016	Multiple epiphyseal dysplasia, Lowry type	601560	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=166016
232	Sickle cell anemia	603903	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=232
165994	Pituitary resistance to thyroid hormone	145650	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=165994
534	Oculocerebrorenal syndrome of Lowe	309000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=534
790	Retinoblastoma	180200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=790
165991	Exercise-induced hyperinsulinism	610021	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=165991
652	Multiple endocrine neoplasia type 1	131100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=652
739	Prader-Willi syndrome	176270	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=739
47	X-linked agammaglobulinemia	300755	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=47
580	Mucopolysaccharidosis type 2	309900	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=580
905	Wilson disease	277900	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=905
792	X-linked retinoschisis	312700	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=792
383	X-linked mixed deafness with perilymphatic gusher	304400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=383
827	Stargardt disease	248200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=827
906	Wiskott-Aldrich syndrome	301000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=906
904	Williams syndrome	194050	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=904
280	Wolf-Hirschhorn syndrome	194190	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=280
15	Achondroplasia	100800	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=15
96	Ataxia with vitamin E deficiency	277460	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=96
101	Dentatorubral pallidoluysian atrophy	125370	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=101
163649	Spondyloepiphyseal dysplasia, Nishimura type	618618	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163649
163649	Spondyloepiphyseal dysplasia, Nishimura type	602611	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163649
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	300400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=276
163654	Spondyloepiphyseal dysplasia, Cantu type	611717	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163654
481	Kennedy disease	313200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=481
664	Ornithine transcarbamylase deficiency	311250	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=664
163668	Spondyloepiphyseal dysplasia, MacDermot type	184000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163668
163673	Spondyloepiphyseal dysplasia, Byers type	183850	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163673
163662	Spondyloepiphyseal dysplasia, Reardon type	600561	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163662
394	Classic homocystinuria	236200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=394
163665	Spondyloepiphyseal dysplasia tarda, Kohn type	271620	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163665
508	Leprechaunism	246200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=508
429	Hypochondroplasia	146000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=429
104	Leber hereditary optic neuropathy	535000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=104
2182	Hydrocephalus with stenosis of the aqueduct of Sylvius	307000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=2182
163634	Maffucci syndrome	614569	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163634
649	Norrie disease	310600	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=649
163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	608105	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163727
163684	Leukoencephalopathy-dystonia-motor neuropathy syndrome	613724	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163684
163681	Cortical dysplasia-focal epilepsy syndrome	610042	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163681
16	Blue cone monochromatism	303700	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=16
163699	Alveolar soft tissue sarcoma	606243	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163699
644	NARP syndrome	551500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=644
637	Neurofibromatosis type 2	101000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=637
163696	Action myoclonus-renal failure syndrome	254900	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163696
181	X-linked hypohidrotic ectodermal dysplasia	305100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=181
163690	Hypotonia-cystinuria syndrome	606407	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=163690
337	Fibrodysplasia ossificans progressiva	135100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=337
3444	Watson syndrome	193520	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=3444
377	Gorlin syndrome	109400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=377
648	Noonan syndrome	163950	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=648
281	Monosomy 5p	123450	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=281
752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	264300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=752
214	Cystinuria	220100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=214
510	Lesch-Nyhan syndrome	300322	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=510
524	Li-Fraumeni syndrome	151623	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=524
699	Pearson syndrome	557000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=699
640	Hereditary neuropathy with liability to pressure palsies	162500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=640
60	Alpha-1-antitrypsin deficiency	613490	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=60
895	Waardenburg syndrome type 2	193510	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=895
896	Waardenburg syndrome type 3	148820	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=896
857	Townes-Brocks syndrome	107480	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=857
857	Townes-Brocks syndrome	617466	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=857
894	Waardenburg syndrome type 1	193500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=894
682	Hyperkalemic periodic paralysis	170500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=682
800	Schwartz-Jampel syndrome	255800	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=800
628	Diastrophic dwarfism	222600	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=628
673	Malaria	611162	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=673
681	Hypokalemic periodic paralysis	170400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=681
126	Blepharophimosis-ptosis-epicanthus inversus syndrome	110100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=126
107	BOR syndrome	113650	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=107
774	Hereditary hemorrhagic telangiectasia	187300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=774
794	Saethre-Chotzen syndrome	101400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=794
710	Pfeiffer syndrome	101600	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=710
2869	Peutz-Jeghers syndrome	175200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=2869
893	WAGR syndrome	194072	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=893
912	Zellweger syndrome	214100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=912
50	Aicardi syndrome	304050	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=50
53	Albers-SchÃ¶nberg osteopetrosis	166600	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=53
14	Abetalipoproteinemia	200100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=14
52	Alagille syndrome	118450	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=52
167	ChÃ©diak-Higashi syndrome	214500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=167
195	Cat-eye syndrome	115470	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=195
207	Crouzon disease	123500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=207
201	Cowden syndrome	158350	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=201
192	Coffin-Lowry syndrome	303600	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=192
562	McCune-Albright syndrome	174800	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=562
565	Menkes disease	309400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=565
540	Familial hemophagocytic lymphohistiocytosis	267700	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=540
564	Meckel syndrome	249000	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=564
289	Ellis Van Creveld syndrome	225500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=289
258	Laminin subunit alpha 2-related congenital muscular dystrophy	607855	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=258
169464	Primary CD59 deficiency	612300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169464
116	Beckwith-Wiedemann syndrome	130650	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=116
87	Apert syndrome	101200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=87
97	Familial paroxysmal ataxia	108500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=97
169467	Recurrent Neisseria infections due to factor D deficiency	613912	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169467
1000	Ocular albinism with late-onset sensorineural deafness	300650	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=1000
999	Ermine phenotype	227010	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=999
171445	Muscle filaminopathy	609524	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=171445
171607	X-linked spastic paraplegia type 34	300750	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=171607
2771	Bruck syndrome	259450	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=2771
171612	Autosomal dominant spastic paraplegia type 37	611945	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=171612
171617	Autosomal dominant spastic paraplegia type 38	612335	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=171617
171622	Autosomal recessive spastic paraplegia type 32	611252	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=171622
171629	Autosomal recessive spastic paraplegia type 35	612319	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=171629
861	Treacher-Collins syndrome	154500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=861
308	Unverricht-Lundborg disease	254800	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=308
199	Cornelia de Lange syndrome	122470	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=199
2162	Holoprosencephaly	236100	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=2162
998	Albinism-deafness syndrome	300700	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=998
1727	22q11.2 duplication syndrome	608363	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=1727
169079	Cernunnos-XLF deficiency	611291	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169079
168984	CLAPO syndrome	613089	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=168984
168972	Kahrizi syndrome	612713	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=168972
169100	Immunodeficiency due to CD25 deficiency	606367	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169100
169095	Severe combined immunodeficiency due to FOXN1 deficiency	618806	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169095
169095	Severe combined immunodeficiency due to FOXN1 deficiency	601705	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169095
169082	Combined immunodeficiency due to CD3gamma deficiency	615607	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169082
169085	Susceptibility to respiratory infections associated with CD8alpha chain mutation	608957	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169085
753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	264600	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=753
868	Triose phosphate-isomerase deficiency	615512	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=868
218	Darier disease	124200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=218
168796	Heart-hand syndrome, Slovenian type	610140	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=168796
168953	Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement	613523	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=168953
1600	Monosomy 18q	601808	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=1600
1598	Monosomy 18p	146390	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=1598
2772	Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome	259410	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=2772
2609	Isolated complex I deficiency	252010	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=2609
626	Large congenital melanocytic nevus	137550	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=626
773	Refsum disease	266500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=773
1947	Progressive epilepsy-intellectual disability syndrome, Finnish type	610003	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=1947
169142	Recurrent infection due to specific granule deficiency	617475	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169142
169142	Recurrent infection due to specific granule deficiency	245480	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169142
596	X-linked centronuclear myopathy	310400	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=596
610	Bethlem myopathy	158810	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=610
464	Incontinentia pigmenti	308300	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=464
3307	Tetrasomy 18p	614290	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=3307
169189	Autosomal dominant centronuclear myopathy	160150	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=169189
3084	Mirhosseini-Holmes-Walton syndrome	268050	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=3084
56	Alkaptonuria	203500	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=56
1059	Blue rubber bleb nevus	112200	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=1059
1046	Lethal hemolytic anemia-genital anomalies syndrome	600461	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=1046
22	Succinic semialdehyde dehydrogenase deficiency	271980	https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=22
